date,value
2022/10/18,58 
2022/10/19,86 
2022/10/20,49 
2022/10/21,28 
2022/10/22,40 
2022/10/23,28 
2022/10/24,70 
2022/10/25,67 
2022/10/26,72 
2022/10/27,26 
2022/10/28,46 
2022/10/29,39 
2022/10/30,16 
2022/10/31,58 
2022/11/1,79 
2022/11/2,68 
2022/11/3,42 
2022/11/4,37 
2022/11/5,49 
2022/11/6,21 
2022/11/7,63 
2022/11/8,58 
2022/11/9,77 
2022/11/10,32 
2022/11/11,58 
2022/11/12,60 
2022/11/13,37 
2022/11/14,58 
2022/11/15,56 
2022/11/16,74 
2022/11/17,46 
2022/11/18,47 
2022/11/19,60 
2022/11/20,7 
2022/11/21,56 
2022/11/22,74 
2022/11/23,79 
2022/11/24,47 
2022/11/25,33 
2022/11/26,46 
2022/11/27,14 
2022/11/28,40 
2022/11/29,67 
2022/11/30,61 
2022/12/1,33 
2022/12/2,39 
2022/12/3,46 
2022/12/4,11 
2022/12/5,63 
2022/12/6,75 
2022/12/7,84 
2022/12/8,28 
2022/12/9,26 
2022/12/10,51 
2022/12/11,39 
2022/12/12,56 
2022/12/13,72 
2022/12/14,70 
2022/12/15,26 
2022/12/16,28 
2022/12/17,32 
2022/12/18,32 
2022/12/19,63 
2022/12/20,67 
2022/12/21,70 
2022/12/22,54 
2022/12/23,28 
2022/12/24,37 
2022/12/25,14 
2022/12/26,56 
2022/12/27,74 
2022/12/28,81 
2022/12/29,26 
2022/12/30,39 
2022/12/31,44 
2023/1/1,30 
2023/1/2,54 
2023/1/3,70 
2023/1/4,77 
2023/1/5,25 
2023/1/6,49 
2023/1/7,53 
2023/1/8,18 
2023/1/9,67 
2023/1/10,77 
2023/1/11,77 
2023/1/12,37 
2023/1/13,28 
2023/1/14,46 
2023/1/15,21 
2023/1/16,53 
2023/1/17,67 
2023/1/18,95 
2023/1/19,21 
2023/1/20,35 
2023/1/21,56 
2023/1/22,12 
2023/1/23,42 
2023/1/24,75 
2023/1/25,61 
2023/1/26,37 
2023/1/27,26 
2023/1/28,44 
2023/1/29,12 
2023/1/30,47 
2023/1/31,60 
2023/2/1,65 
2023/2/2,28 
2023/2/3,33 
2023/2/4,42 
2023/2/5,25 
2023/2/6,30 
2023/2/7,63 
2023/2/8,88 
2023/2/9,35 
2023/2/10,37 
2023/2/11,33 
2023/2/12,23 
2023/2/13,63 
2023/2/14,51 
2023/2/15,77 
2023/2/16,25 
2023/2/17,44 
2023/2/18,44 
2023/2/19,11 
2023/2/20,51 
2023/2/21,81 
2023/2/22,91 
2023/2/23,35 
2023/2/24,30 
2023/2/25,51 
2023/2/26,28 
2023/2/27,54 
2023/2/28,58 
2023/3/1,75 
2023/3/2,42 
2023/3/3,33 
2023/3/4,53 
2023/3/5,23 
2023/3/6,65 
2023/3/7,81 
2023/3/8,81 
2023/3/9,32 
2023/3/10,42 
2023/3/11,47 
2023/3/12,21 
2023/3/13,54 
2023/3/14,86 
2023/3/15,75 
2023/3/16,26 
2023/3/17,40 
2023/3/18,51 
2023/3/19,16 
2023/3/20,61 
2023/3/21,68 
2023/3/22,68 
2023/3/23,42 
2023/3/24,42 
2023/3/25,70 
2023/3/26,42 
2023/3/27,42 
2023/3/28,67 
2023/3/29,74 
2023/3/30,19 
2023/3/31,53 
2023/4/1,44 
2023/4/2,9 
2023/4/3,49 
2023/4/4,68 
2023/4/5,65 
2023/4/6,40 
2023/4/7,44 
2023/4/8,61 
2023/4/9,25 
2023/4/10,67 
2023/4/11,72 
2023/4/12,74 
2023/4/13,30 
2023/4/14,30 
2023/4/15,46 
2023/4/16,4 
2023/4/17,58 
2023/4/18,70 
2023/4/19,88 
2023/4/20,23 
2023/4/21,44 
2023/4/22,56 
2023/4/23,25 
2023/4/24,53 
2023/4/25,63 
2023/4/26,88 
2023/4/27,28 
2023/4/28,44 
2023/4/29,39 
2023/4/30,12 
2023/5/1,47 
2023/5/2,56 
2023/5/3,67 
2023/5/4,21 
2023/5/5,23 
2023/5/6,47 
2023/5/7,32 
2023/5/8,53 
2023/5/9,58 
2023/5/10,77 
2023/5/11,32 
2023/5/12,39 
2023/5/13,37 
2023/5/14,23 
2023/5/15,68 
2023/5/16,49 
2023/5/17,74 
2023/5/18,37 
2023/5/19,40 
2023/5/20,67 
2023/5/21,18 
2023/5/22,49 
2023/5/23,74 
2023/5/24,91 
2023/5/25,18 
2023/5/26,37 
2023/5/27,30 
2023/5/28,30 
2023/5/29,46 
2023/5/30,84 
2023/5/31,77 
2023/6/1,19 
2023/6/2,49 
2023/6/3,54 
2023/6/4,28 
2023/6/5,46 
2023/6/6,77 
2023/6/7,77 
2023/6/8,30 
2023/6/9,46 
2023/6/10,51 
2023/6/11,25 
2023/6/12,65 
2023/6/13,74 
2023/6/14,74 
2023/6/15,28 
2023/6/16,39 
2023/6/17,51 
2023/6/18,11 
2023/6/19,49 
2023/6/20,61 
2023/6/21,79 
2023/6/22,28 
2023/6/23,46 
2023/6/24,44 
2023/6/25,14 
2023/6/26,58 
2023/6/27,77 
2023/6/28,74 
2023/6/29,42 
2023/6/30,40 
2023/7/1,30 
2023/7/2,26 
2023/7/3,40 
2023/7/4,65 
2023/7/5,82 
2023/7/6,16 
2023/7/7,51 
2023/7/8,54 
2023/7/9,14 
2023/7/10,75 
2023/7/11,65 
2023/7/12,81 
2023/7/13,26 
2023/7/14,37 
2023/7/15,40 
2023/7/16,28 
2023/7/17,47 
2023/7/18,60 
2023/7/19,81 
2023/7/20,46 
2023/7/21,40 
2023/7/22,65 
2023/7/23,14 
2023/7/24,47 
2023/7/25,67 
2023/7/26,63 
2023/7/27,37 
2023/7/28,37 
2023/7/29,33 
2023/7/30,11 
2023/7/31,58 
2023/8/1,58 
2023/8/2,74 
2023/8/3,35 
2023/8/4,30 
2023/8/5,40 
2023/8/6,25 
2023/8/7,51 
2023/8/8,79 
2023/8/9,95 
2023/8/10,25 
2023/8/11,37 
2023/8/12,42 
2023/8/13,25 
2023/8/14,60 
2023/8/15,70 
2023/8/16,72 
2023/8/17,32 
2023/8/18,40 
2023/8/19,54 
2023/8/20,25 
2023/8/21,58 
2023/8/22,70 
2023/8/23,84 
2023/8/24,26 
2023/8/25,44 
2023/8/26,42 
2023/8/27,23 
2023/8/28,56 
2023/8/29,61 
2023/8/30,68 
2023/8/31,18 
2023/9/1,37 
2023/9/2,53 
2023/9/3,26 
2023/9/4,47 
2023/9/5,67 
2023/9/6,63 
2023/9/7,39 
2023/9/8,37 
2023/9/9,40 
2023/9/10,25 
2023/9/11,54 
2023/9/12,70 
2023/9/13,67 
2023/9/14,49 
2023/9/15,47 
2023/9/16,46 
2023/9/17,23 
2023/9/18,70 
2023/9/19,56 
2023/9/20,84 
2023/9/21,37 
2023/9/22,35 
2023/9/23,60 
2023/9/24,21 
2023/9/25,56 
2023/9/26,77 
2023/9/27,68 
2023/9/28,30 
2023/9/29,39 
2023/9/30,54 
2023/10/1,23 
2023/10/2,53 
2023/10/3,67 
2023/10/4,77 
2023/10/5,21 
2023/10/6,51 
2023/10/7,37 
2023/10/8,16 
2023/10/9,58 
2023/10/10,60 
2023/10/11,79 
2023/10/12,21 
2023/10/13,44 
2023/10/14,47 
2023/10/15,11 
2023/10/16,53 
2023/10/17,65 
2023/10/18,63 
2023/10/19,37 
2023/10/20,37 
2023/10/21,54 
2023/10/22,16 
2023/10/23,49 
2023/10/24,81 
2023/10/25,88 
2023/10/26,26 
2023/10/27,33 
2023/10/28,60 
2023/10/29,30 
2023/10/30,44 
2023/10/31,63 
2023/11/1,61 
2023/11/2,33 
2023/11/3,47 
2023/11/4,49 
2023/11/5,33 
2023/11/6,54 
2023/11/7,56 
2023/11/8,81 
2023/11/9,32 
2023/11/10,49 
2023/11/11,56 
2023/11/12,14 
2023/11/13,39 
2023/11/14,61 
2023/11/15,88 
2023/11/16,28 
2023/11/17,33 
2023/11/18,39 
2023/11/19,16 
2023/11/20,58 
2023/11/21,77 
2023/11/22,79 
2023/11/23,21 
2023/11/24,42 
2023/11/25,47 
2023/11/26,23 
2023/11/27,74 
2023/11/28,68 
2023/11/29,75 
2023/11/30,25 
2023/12/1,28 
2023/12/2,46 
2023/12/3,23 
2023/12/4,54 
2023/12/5,60 
2023/12/6,63 
2023/12/7,26 
2023/12/8,47 
2023/12/9,44 
2023/12/10,39 
2023/12/11,65 
2023/12/12,70 
2023/12/13,81 
2023/12/14,25 
2023/12/15,39 
2023/12/16,40 
2023/12/17,28 
2023/12/18,47 
2023/12/19,65 
2023/12/20,77 
2023/12/21,26 
2023/12/22,40 
2023/12/23,65 
2023/12/24,26 
2023/12/25,60 
2023/12/26,68 
2023/12/27,81 
2023/12/28,28 
2023/12/29,9 
2023/12/30,44 
2023/12/31,21 
2024/1/1,49 
2024/1/2,74 
2024/1/3,65 
2024/1/4,30 
2024/1/5,35 
2024/1/6,37 
2024/1/7,40 
2024/1/8,63 
2024/1/9,58 
2024/1/10,72 
2024/1/11,28 
2024/1/12,32 
2024/1/13,53 
2024/1/14,32 
2024/1/15,72 
2024/1/16,61 
2024/1/17,81 
2024/1/18,26 
2024/1/19,46 
2024/1/20,49 
2024/1/21,30 
2024/1/22,47 
2024/1/23,60 
2024/1/24,70 
2024/1/25,26 
2024/1/26,19 
2024/1/27,46 
2024/1/28,26 
2024/1/29,46 
2024/1/30,58 
2024/1/31,67 
2024/2/1,40 
2024/2/2,32 
2024/2/3,53 
2024/2/4,16 
2024/2/5,54 
2024/2/6,67 
2024/2/7,79 
2024/2/8,28 
2024/2/9,32 
2024/2/10,46 
2024/2/11,30 
2024/2/12,44 
2024/2/13,79 
2024/2/14,61 
2024/2/15,35 
2024/2/16,28 
2024/2/17,65 
2024/2/18,16 
2024/2/19,75 
2024/2/20,56 
2024/2/21,82 
2024/2/22,26 
2024/2/23,46 
2024/2/24,39 
2024/2/25,11 
2024/2/26,46 
2024/2/27,60 
2024/2/28,63 
2024/2/29,23 
2024/3/1,23 
2024/3/2,39 
2024/3/3,14 
2024/3/4,68 
2024/3/5,56 
2024/3/6,61 
2024/3/7,14 
2024/3/8,35 
2024/3/9,63 
2024/3/10,16 
2024/3/11,46 
2024/3/12,65 
2024/3/13,79 
2024/3/14,23 
2024/3/15,39 
2024/3/16,58 
2024/3/17,25 
2024/3/18,49 
2024/3/19,68 
2024/3/20,67 
2024/3/21,46 
2024/3/22,9 
2024/3/23,37 
2024/3/24,37 
2024/3/25,67 
2024/3/26,75 
2024/3/27,72 
2024/3/28,42 
2024/3/29,47 
2024/3/30,51 
2024/3/31,5 
2024/4/1,54 
2024/4/2,68 
2024/4/3,68 
2024/4/4,33 
2024/4/5,40 
2024/4/6,44 
2024/4/7,28 
2024/4/8,63 
2024/4/9,56 
2024/4/10,74 
2024/4/11,37 
2024/4/12,49 
2024/4/13,51 
2024/4/14,26 
2024/4/15,65 
2024/4/16,63 
2024/4/17,82 
2024/4/18,40 
2024/4/19,39 
2024/4/20,35 
2024/4/21,25 
2024/4/22,42 
2024/4/23,60 
2024/4/24,77 
2024/4/25,23 
2024/4/26,46 
2024/4/27,61 
2024/4/28,23 
2024/4/29,53 
2024/4/30,74 
2024/5/1,42 
2024/5/2,28 
2024/5/3,49 
2024/5/4,40 
2024/5/5,19 
2024/5/6,60 
2024/5/7,65 
2024/5/8,68 
2024/5/9,32 
2024/5/10,40 
2024/5/11,53 
2024/5/12,26 
2024/5/13,49 
2024/5/14,60 
2024/5/15,75 
2024/5/16,26 
2024/5/17,28 
2024/5/18,46 
2024/5/19,33 
2024/5/20,51 
2024/5/21,72 
2024/5/22,77 
2024/5/23,30 
2024/5/24,33 
2024/5/25,47 
2024/5/26,21 
2024/5/27,54 
2024/5/28,82 
2024/5/29,79 
2024/5/30,19 
2024/5/31,35 
2024/6/1,54 
2024/6/2,33 
2024/6/3,51 
2024/6/4,72 
2024/6/5,60 
2024/6/6,33 
2024/6/7,35 
2024/6/8,46 
2024/6/9,26 
2024/6/10,65 
2024/6/11,63 
2024/6/12,86 
2024/6/13,35 
2024/6/14,35 
2024/6/15,58 
2024/6/16,25 
2024/6/17,47 
2024/6/18,67 
2024/6/19,79 
2024/6/20,33 
2024/6/21,47 
2024/6/22,49 
2024/6/23,42 
2024/6/24,44 
2024/6/25,82 
2024/6/26,67 
2024/6/27,26 
2024/6/28,51 
2024/6/29,39 
2024/6/30,25 
2024/7/1,58 
2024/7/2,68 
2024/7/3,75 
2024/7/4,23 
2024/7/5,49 
2024/7/6,67 
2024/7/7,12 
2024/7/8,42 
2024/7/9,56 
2024/7/10,72 
2024/7/11,39 
2024/7/12,46 
2024/7/13,49 
2024/7/14,21 
2024/7/15,70 
2024/7/16,72 
2024/7/17,86 
2024/7/18,37 
2024/7/19,39 
2024/7/20,44 
2024/7/21,4 
2024/7/22,54 
2024/7/23,70 
2024/7/24,72 
2024/7/25,25 
2024/7/26,37 
2024/7/27,65 
2024/7/28,19 
2024/7/29,47 
2024/7/30,56 
2024/7/31,75 
2024/8/1,26 
2024/8/2,42 
2024/8/3,47 
2024/8/4,23 
2024/8/5,47 
2024/8/6,56 
2024/8/7,75 
2024/8/8,19 
2024/8/9,26 
2024/8/10,54 
2024/8/11,11 
2024/8/12,40 
2024/8/13,82 
2024/8/14,89 
2024/8/15,56 
2024/8/16,51 
2024/8/17,54 
2024/8/18,16 
2024/8/19,49 
2024/8/20,60 
2024/8/21,84 
2024/8/22,28 
2024/8/23,47 
2024/8/24,47 
2024/8/25,21 
2024/8/26,58 
2024/8/27,60 
2024/8/28,95 
2024/8/29,35 
2024/8/30,44 
2024/8/31,53 
2024/9/1,23 
2024/9/2,51 
2024/9/3,51 
2024/9/4,56 
2024/9/5,33 
2024/9/6,42 
2024/9/7,37 
2024/9/8,35 
2024/9/9,49 
2024/9/10,60 
2024/9/11,67 
2024/9/12,44 
2024/9/13,40 
2024/9/14,58 
2024/9/15,19 
2024/9/16,77 
2024/9/17,65 
2024/9/18,68 
2024/9/19,19 
2024/9/20,37 
2024/9/21,35 
2024/9/22,33 
2024/9/23,51 
2024/9/24,61 
2024/9/25,74 
2024/9/26,21 
2024/9/27,40 
2024/9/28,63 
2024/9/29,30 
2024/9/30,44 
2024/10/1,67 
2024/10/2,70 
2024/10/3,33 
2024/10/4,44 
2024/10/5,51 
2024/10/6,23 
2024/10/7,51 
2024/10/8,74 
2024/10/9,70 
2024/10/10,26 
2024/10/11,32 
2024/10/12,53 
2024/10/13,23 
2024/10/14,54 
2024/10/15,75 
2024/10/16,91 
2024/10/17,44 
2024/10/18,30 
2024/10/19,46 
2024/10/20,35 
2024/10/21,54 
2024/10/22,61 
2024/10/23,68 
2024/10/24,30 
2024/10/25,39 
2024/10/26,37 
2024/10/27,25 
2024/10/28,63 
2024/10/29,58 
2024/10/30,77 
2024/10/31,37 
2024/11/1,44 
2024/11/2,63 
2024/11/3,12 
2024/11/4,56 
2024/11/5,72 
2024/11/6,77 
2024/11/7,40 
2024/11/8,32 
2024/11/9,53 
2024/11/10,14 
2024/11/11,54 
2024/11/12,60 
2024/11/13,79 
2024/11/14,21 
2024/11/15,35 
2024/11/16,54 
2024/11/17,12 
2024/11/18,49 
2024/11/19,70 
2024/11/20,70 
2024/11/21,37 
2024/11/22,23 
2024/11/23,46 
2024/11/24,5 
2024/11/25,54 
2024/11/26,81 
2024/11/27,81 
2024/11/28,30 
2024/11/29,49 
2024/11/30,49 
2024/12/1,14 
2024/12/2,44 
2024/12/3,65 
2024/12/4,72 
2024/12/5,21 
2024/12/6,35 
2024/12/7,46 
2024/12/8,18 
2024/12/9,67 
2024/12/10,63 
2024/12/11,74 
2024/12/12,32 
2024/12/13,42 
2024/12/14,42 
2024/12/15,9 
2024/12/16,46 
2024/12/17,86 
2024/12/18,79 
2024/12/19,30 
2024/12/20,53 
2024/12/21,35 
2024/12/22,32 
2024/12/23,49 
2024/12/24,61 
2024/12/25,74 
2024/12/26,25 
2024/12/27,37 
2024/12/28,58 
2024/12/29,44 
2024/12/30,53 
2024/12/31,47 
2025/1/1,67 
2025/1/2,19 
2025/1/3,26 
2025/1/4,44 
2025/1/5,14 
2025/1/6,58 
2025/1/7,70 
2025/1/8,77 
2025/1/9,26 
2025/1/10,44 
2025/1/11,51 
2025/1/12,26 
2025/1/13,49 
2025/1/14,46 
2025/1/15,82 
2025/1/16,32 
2025/1/17,40 
2025/1/18,61 
2025/1/19,28 
2025/1/20,51 
2025/1/21,60 
2025/1/22,70 
2025/1/23,44 
2025/1/24,26 
2025/1/25,47 
2025/1/26,18 
2025/1/27,46 
2025/1/28,72 
2025/1/29,82 
2025/1/30,23 
2025/1/31,32 
2025/2/1,39 
2025/2/2,19 
2025/2/3,51 
2025/2/4,65 
2025/2/5,84 
2025/2/6,25 
2025/2/7,32 
2025/2/8,51 
2025/2/9,19 
2025/2/10,70 
2025/2/11,74 
2025/2/12,74 
2025/2/13,39 
2025/2/14,33 
2025/2/15,44 
2025/2/16,12 
2025/2/17,46 
2025/2/18,70 
2025/2/19,75 
2025/2/20,33 
2025/2/21,33 
2025/2/22,44 
2025/2/23,19 
2025/2/24,46 
2025/2/25,72 
2025/2/26,70 
2025/2/27,18 
2025/2/28,40 
2025/3/1,56 
2025/3/2,14 
2025/3/3,49 
2025/3/4,72 
2025/3/5,60 
2025/3/6,28 
2025/3/7,44 
2025/3/8,60 
2025/3/9,2 
2025/3/10,58 
2025/3/11,65 
2025/3/12,86 
2025/3/13,32 
2025/3/14,19 
2025/3/15,53 
2025/3/16,16 
2025/3/17,61 
2025/3/18,60 
2025/3/19,74 
2025/3/20,16 
2025/3/21,42 
2025/3/22,51 
2025/3/23,12 
2025/3/24,56 
2025/3/25,65 
2025/3/26,65 
2025/3/27,35 
2025/3/28,42 
2025/3/29,53 
2025/3/30,32 
2025/3/31,74 
2025/4/1,67 
2025/4/2,79 
2025/4/3,42 
2025/4/4,39 
2025/4/5,44 
2025/4/6,23 
2025/4/7,58 
2025/4/8,68 
2025/4/9,72 
2025/4/10,18 
2025/4/11,28 
2025/4/12,33 
2025/4/13,25 
2025/4/14,42 
2025/4/15,54 
2025/4/16,77 
2025/4/17,21 
2025/4/18,44 
2025/4/19,40 
2025/4/20,30 
2025/4/21,53 
2025/4/22,70 
2025/4/23,74 
2025/4/24,28 
2025/4/25,32 
2025/4/26,47 
2025/4/27,9 
2025/4/28,49 
2025/4/29,63 
2025/4/30,79 
2025/5/1,19 
2025/5/2,40 
2025/5/3,58 
2025/5/4,11 
2025/5/5,56 
2025/5/6,65 
2025/5/7,75 
2025/5/8,44 
2025/5/9,39 
2025/5/10,46 
2025/5/11,28 
2025/5/12,51 
2025/5/13,68 
2025/5/14,60 
2025/5/15,23 
2025/5/16,33 
2025/5/17,46 
2025/5/18,11 
2025/5/19,68 
2025/5/20,65 
2025/5/21,79 
2025/5/22,37 
2025/5/23,30 
2025/5/24,53 
2025/5/25,37 
2025/5/26,56 
2025/5/27,67 
2025/5/28,86 
2025/5/29,25 
2025/5/30,32 
2025/5/31,47 
2025/6/1,11 
2025/6/2,67 
2025/6/3,68 
2025/6/4,54 
2025/6/5,18 
2025/6/6,19 
2025/6/7,51 
2025/6/8,16 
2025/6/9,53 
2025/6/10,70 
2025/6/11,77 
2025/6/12,16 
2025/6/13,28 
2025/6/14,40 
2025/6/15,21 
2025/6/16,49 
2025/6/17,70 
2025/6/18,72 
2025/6/19,35 
2025/6/20,39 
2025/6/21,53 
2025/6/22,16 
2025/6/23,67 
2025/6/24,65 
2025/6/25,68 
2025/6/26,23 
2025/6/27,39 
2025/6/28,60 
2025/6/29,7 
2025/6/30,54 
2025/7/1,65 
2025/7/2,61 
2025/7/3,25 
2025/7/4,42 
2025/7/5,51 
2025/7/6,26 
2025/7/7,63 
2025/7/8,65 
2025/7/9,77 
2025/7/10,46 
2025/7/11,33 
2025/7/12,56 
2025/7/13,19 
2025/7/14,65 
2025/7/15,61 
2025/7/16,70 
2025/7/17,28 
2025/7/18,25 
2025/7/19,46 
2025/7/20,11 
2025/7/21,49 
2025/7/22,46 
2025/7/23,72 
2025/7/24,39 
2025/7/25,35 
2025/7/26,47 
2025/7/27,26 
2025/7/28,60 
2025/7/29,46 
2025/7/30,81 
2025/7/31,19 
2025/8/1,33 
2025/8/2,44 
2025/8/3,26 
2025/8/4,46 
2025/8/5,68 
2025/8/6,81 
2025/8/7,30 
2025/8/8,42 
2025/8/9,61 
2025/8/10,16 
2025/8/11,53 
2025/8/12,68 
2025/8/13,74 
2025/8/14,39 
2025/8/15,35 
2025/8/16,42 
2025/8/17,37 
2025/8/18,77 
2025/8/19,61 
2025/8/20,75 
2025/8/21,40 
2025/8/22,40 
2025/8/23,42 
2025/8/24,32 
2025/8/25,60 
2025/8/26,67 
2025/8/27,61 
2025/8/28,32 
2025/8/29,28 
2025/8/30,60 
2025/8/31,5 
2025/9/1,61 
2025/9/2,49 
2025/9/3,84 
2025/9/4,23 
2025/9/5,51 
2025/9/6,46 
2025/9/7,18 
2025/9/8,63 
2025/9/9,40 
2025/9/10,79 
2025/9/11,30 
2025/9/12,33 
2025/9/13,65 
2025/9/14,23 
2025/9/15,75 
2025/9/16,63 
2025/9/17,98 
2025/9/18,42 
2025/9/19,35 
2025/9/20,51 
2025/9/21,39 
2025/9/22,65 
2025/9/23,65 
2025/9/24,75 
2025/9/25,35 
2025/9/26,33 
2025/9/27,47 
2025/9/28,23 
2025/9/29,56 
2025/9/30,77 
2025/10/1,56 
2025/10/2,33 
2025/10/3,16 
2025/10/4,39 
2025/10/5,14 
2025/10/6,67 
2025/10/7,44 
2025/10/8,81 
2025/10/9,33 
2025/10/10,26 
2025/10/11,61 
2025/10/12,28 
2025/10/13,60 
2025/10/14,70 
2025/10/15,88 
2025/10/16,26 
2025/10/17,46 
2025/10/18,51 
2025/10/19,7 
2025/10/20,61 
2025/10/21,72 
2025/10/22,72 
2025/10/23,26 
2025/10/24,47 
2025/10/25,54 
2025/10/26,9 
2025/10/27,65 
2025/10/28,61 
2025/10/29,67 
2025/10/30,33 
