date,temp_max,rain_mm
2024-08-04,15.1,0
2024-08-05,12.8,0
2024-08-06,19.9,0
2024-08-07,19.2,0
2024-08-08,17.0,0
2024-08-09,12.8,4.8
2024-08-10,15.0,0
2024-08-11,17.3,0
2024-08-12,10.6,8.7
2024-08-13,15.8,0
2024-08-14,17.6,0
2024-08-15,13.1,0
2024-08-16,21.1,6.9
2024-08-17,15.1,0
2024-08-18,15.2,0
2024-08-19,12.9,0
2024-08-20,15.3,0
2024-08-21,21.3,0
2024-08-22,11.4,3.2
2024-08-23,19.1,0
2024-08-24,17.3,0
2024-08-25,14.1,0
2024-08-26,15.0,0
2024-08-27,16.0,2.1
2024-08-28,20.6,5.7
2024-08-29,12.1,12.1
2024-08-30,15.7,0
2024-08-31,11.8,0
2024-09-01,13.5,0
2024-09-02,11.0,0
2024-09-03,16.7,0
2024-09-04,16.0,0
2024-09-05,13.1,0
2024-09-06,10.2,3.7
2024-09-07,13.9,0
2024-09-08,15.9,2.2
2024-09-09,9.4,0
2024-09-10,15.0,0
2024-09-11,17.6,0
2024-09-12,11.7,0
2024-09-13,14.7,3.4
2024-09-14,17.6,0.5
2024-09-15,17.6,0
2024-09-16,13.1,3.9
2024-09-17,11.0,0
2024-09-18,10.5,0
2024-09-19,11.9,11.3
2024-09-20,15.5,0
2024-09-21,14.5,0
2024-09-22,12.4,0
2024-09-23,10.6,0
2024-09-24,11.9,0.6
2024-09-25,8.6,0
2024-09-26,13.2,0
2024-09-27,16.1,0
2024-09-28,18.2,0
2024-09-29,9.3,0
2024-09-30,9.3,0
2024-10-01,12.6,0
2024-10-02,13.9,0.9
2024-10-03,12.9,0
2024-10-04,12.9,0.9
2024-10-05,16.3,0
2024-10-06,7.1,0
2024-10-07,12.7,0
2024-10-08,8.1,0
2024-10-09,8.0,0
2024-10-10,6.8,0
2024-10-11,9.7,0
2024-10-12,12.4,1.3
2024-10-13,10.6,0
2024-10-14,13.8,0
2024-10-15,13.6,0
2024-10-16,6.8,0
2024-10-17,13.2,1.3
2024-10-18,10.0,0
2024-10-19,11.2,0
2024-10-20,3.2,0
2024-10-21,6.3,0
2024-10-22,9.4,0
2024-10-23,10.3,0
2024-10-24,5.4,0
2024-10-25,5.5,0
2024-10-26,6.9,0
2024-10-27,11.2,0
2024-10-28,10.5,0
2024-10-29,6.6,8.6
2024-10-30,6.7,0
2024-10-31,6.0,1.2
2024-11-01,11.4,0
2024-11-02,7.7,0
2024-11-03,6.1,0
2024-11-04,4.9,0
2024-11-05,11.7,0
2024-11-06,7.9,0
2024-11-07,5.6,0
2024-11-08,3.3,2.9
2024-11-09,11.5,0
2024-11-10,9.4,0
2024-11-11,10.4,11.0
2024-11-12,6.8,0
2024-11-13,11.2,0
2024-11-14,10.7,0
2024-11-15,4.4,0
2024-11-16,6.5,0
2024-11-17,6.7,6.3
2024-11-18,9.6,0
2024-11-19,4.7,0
2024-11-20,5.4,0
2024-11-21,11.4,0
2024-11-22,0.5,0
2024-11-23,4.8,0
2024-11-24,9.7,0
2024-11-25,8.0,5.0
2024-11-26,2.1,0
2024-11-27,4.4,2.9
2024-11-28,9.8,0
2024-11-29,5.9,8.6
2024-11-30,5.1,0
2024-12-01,0.5,0
2024-12-02,0.4,0
2024-12-03,4.2,0
2024-12-04,5.0,0
2024-12-05,9.0,0
2024-12-06,0.3,0
2024-12-07,0.1,0
2024-12-08,5.9,0
2024-12-09,6.5,0
2024-12-10,7.3,0
2024-12-11,0.3,0
2024-12-12,7.9,0
2024-12-13,2.3,0
2024-12-14,8.6,0
2024-12-15,5.2,0
2024-12-16,4.3,0
2024-12-17,9.0,0
2024-12-18,3.9,0
2024-12-19,-0.7,0
2024-12-20,1.6,0
2024-12-21,4.5,0
2024-12-22,6.0,0
2024-12-23,6.6,0
2024-12-24,4.2,0
2024-12-25,4.6,0
2024-12-26,3.9,11.0
2024-12-27,1.2,0.9
2024-12-28,8.8,0
2024-12-29,3.7,0
2024-12-30,5.1,4.5
2024-12-31,-0.3,0
